Time (UTC)	prs(m)	rad(m)
2019-11-28 08:35:29	2.037	3.025
2019-11-28 08:36:29	2.045	3.034
2019-11-28 08:37:29	2.047	3.035
2019-11-28 08:38:29	2.033	3.021
2019-11-28 08:39:29	2.029	3.018
2019-11-28 08:40:29	2.024	3.013
2019-11-28 08:41:29	2.021	3.01
2019-11-28 08:42:29	2.021	3.01
2019-11-28 08:43:29	2.016	3.004
2019-11-28 08:44:29	2.015	3.003
2019-11-28 08:45:29	2.022	3.011
2019-11-28 08:46:29	2.015	3.003
2019-11-28 08:47:29	2.01	2.998
2019-11-28 08:48:29	2.007	2.996
2019-11-28 08:49:29	2.01	2.998
2019-11-28 08:50:29	2.005	2.994
2019-11-28 08:51:29	2.002	2.991
2019-11-28 08:52:29	2.001	2.99
2019-11-28 08:53:29	2.007	2.995
2019-11-28 08:54:29	2.003	2.992
2019-11-28 08:55:29	1.998	2.987
2019-11-28 08:56:29	2.01	2.998
2019-11-28 08:57:29	2.008	2.996
2019-11-28 08:58:29	1.999	2.988
2019-11-28 08:59:29	1.996	2.984
2019-11-28 09:00:29	2.006	2.994
2019-11-28 09:01:29	1.998	2.987
2019-11-28 09:02:29	1.993	2.982
2019-11-28 09:03:29	1.997	2.985
2019-11-28 09:04:29	2	2.988
2019-11-28 09:05:29	1.993	2.981
2019-11-28 09:06:29	1.992	2.981
2019-11-28 09:07:29	2.044	3.032
2019-11-28 09:08:29	2.032	3.021
2019-11-28 09:09:29	2.019	3.007
2019-11-28 09:10:29	2.011	3
2019-11-28 09:11:29	2.007	2.995
2019-11-28 09:12:29	2.002	2.991
2019-11-28 09:13:29	1.997	2.985
2019-11-28 09:14:29	1.993	2.982
2019-11-28 09:15:29	1.99	2.978
2019-11-28 09:16:29	1.987	2.976
2019-11-28 09:17:29	1.985	2.973
2019-11-28 09:18:29	1.983	2.971
2019-11-28 09:19:29	1.981	2.97
2019-11-28 09:20:29	1.981	2.97
2019-11-28 09:21:29	1.98	2.968
2019-11-28 09:22:29	1.977	2.966
2019-11-28 09:23:29	1.976	2.965
2019-11-28 09:24:29	1.977	2.965
2019-11-28 09:25:29	1.975	2.964
2019-11-28 09:26:29	1.974	2.962
2019-11-28 09:27:29	1.972	2.961
2019-11-28 09:28:29	1.975	2.963
2019-11-28 09:29:29	1.973	2.962
2019-11-28 09:30:29	1.971	2.959
2019-11-28 09:31:29	1.971	2.959
2019-11-28 09:32:29	1.97	2.959
2019-11-28 09:33:29	1.974	2.963
2019-11-28 09:34:29	1.969	2.958
2019-11-28 09:35:29	1.968	2.956
2019-11-28 09:36:29	1.967	2.955
2019-11-28 09:37:29	1.965	2.954
2019-11-28 09:38:29	1.964	2.953
2019-11-28 09:39:29	1.965	2.953
2019-11-28 09:40:29	1.965	2.954
2019-11-28 09:41:29	1.963	2.951
2019-11-28 09:42:29	1.963	2.951
2019-11-28 09:43:29	1.966	2.954
2019-11-28 09:44:29	1.964	2.952
2019-11-28 09:45:29	1.961	2.95
2019-11-28 09:46:29	1.962	2.951
2019-11-28 09:47:29	1.963	2.951
2019-11-28 09:48:29	1.972	2.96
2019-11-28 09:49:29	1.966	2.954
2019-11-28 09:50:29	1.961	2.95
2019-11-28 09:51:29	1.96	2.949
2019-11-28 09:52:29	1.96	2.948
2019-11-28 09:53:29	1.959	2.947
2019-11-28 09:54:29	1.962	2.95
2019-11-28 09:55:29	1.963	2.952
2019-11-28 09:56:29	1.96	2.949
2019-11-28 09:57:29	1.959	2.948
2019-11-28 09:58:29	1.963	2.951
2019-11-28 09:59:29	1.96	2.948
2019-11-28 10:00:29	1.958	2.946
2019-11-28 10:01:29	1.957	2.946
2019-11-28 10:02:29	1.957	2.945
2019-11-28 10:03:29	1.956	2.945
2019-11-28 10:04:29	1.956	2.944
2019-11-28 10:05:29	1.955	2.943
2019-11-28 10:06:29	1.956	2.944
2019-11-28 10:07:29	1.956	2.944
